Train_fraction,case,delta_f1,base_f1,psmp_f1,protein_identity,rna_identity,max_partner_identity,bin_max_partner,identity_definition
10%,1m5p_G_C,0.08620689655172413,0.0,0.08620689655172413,0.957,0.0,0.957,"[0.7,1.0]","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
10%,1m8w_F_D,0.8791208791208792,0.0,0.8791208791208792,0.0,0.0,0.0,"[0,0.3)","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
10%,2b2d_C_A,-0.14513556618819776,0.30303030303030304,0.15789473684210528,0.934,0.0,0.934,"[0.7,1.0]","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
10%,3bo4_D_A,0.05825242718446602,0.0,0.05825242718446602,0.95,0.0,0.95,"[0.7,1.0]","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
10%,3ud4_A_B,0.053079947575360414,0.01834862385321101,0.07142857142857142,0.954,0.989,0.989,"[0.7,1.0]","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
10%,4k4s_A_D,0.04651162790697674,0.0,0.04651162790697674,0.722,0.0,0.722,"[0.7,1.0]","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
10%,6hct_G_E,0.11610169491525424,0.03389830508474576,0.15,0.613,0.0,0.613,"[0.4,0.7)","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
10%,6nut_A_B,0.028132992327365734,0.0588235294117647,0.08695652173913043,0.0,0.0,0.0,"[0,0.3)","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
10%,6ppp_C_A,0.0,0.0,0.0,0.488,0.0,0.488,"[0.4,0.7)","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
10%,7c08_A_C,0.11627906976744186,0.0,0.11627906976744186,0.0,0.0,0.0,"[0,0.3)","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
10%,7n3o_A_B,0.0,0.0,0.0,0.0,0.0,0.0,"[0,0.3)","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
10%,7orl_B_A,0.0,0.0,0.0,0.967,0.0,0.967,"[0.7,1.0]","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
10%,7uwe_F_A,0.0,0.0,0.0,0.952,0.0,0.952,"[0.7,1.0]","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
10%,7uzx_A_H,0.0,0.0,0.0,0.701,0.0,0.701,"[0.7,1.0]","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
10%,7v9u_A_D,0.0,0.0,0.0,0.245,0.0,0.245,"[0,0.3)","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
