val_case	val_pdb	subset	val_protein_chain	val_rna_chain	protein_len	rna_len	nearest_train_protein	protein_identity	protein_qcov	protein_tcov	protein_alnlen	nearest_train_rna	rna_identity	rna_qcov	rna_tcov	rna_alnlen	protein_identity_anyhit	rna_identity_anyhit	both_ge30	both_ge40	both_ge70
1m5p_G_C	1m5p	dev40	G	C	100	92	2oj3	0.9570	1.000	1.000	100		0.0000				0.9570	0.0000	0	0	0
1m8w_F_D	1m8w	dev40	F	D	349	7		0.0000					0.0000				0.0000	0.0000	0	0	0
21bh_G_M	21bh	test10	G	M	609	60	9nh6	0.2460	0.759	0.674	462		0.0000				0.2460	0.0000	0	0	0
2b2d_C_A	2b2d	dev40	C	A	129	20	1zdj	0.9340	1.000	1.000	129		0.0000				0.9340	0.0000	0	0	0
3bo4_D_A	3bo4	dev40	D	A	95	197	3ucz	0.9500	1.000	0.969	95		0.0000				0.9500	0.0000	0	0	0
3gtm_B_M	3gtm	dev40	B	M	1224	28	4a3k	0.9680	1.000	1.000	1224	5c3e	1.0000	1.000	0.622	28	0.9680	1.0000	1	1	1
3ud4_A_B	3ud4	test10	A	B	98	92	3ucz	0.9540	1.000	1.000	98	3ucz	0.9890	1.000	1.000	92	0.9540	0.9890	1	1	1
4dv1_U_A	4dv1	dev40	U	A	27	1522	9dfe	0.9420	1.000	1.000	27	2zm6	0.9990	0.991	1.000	1509	0.9420	0.9990	1	1	1
4k4s_A_D	4k4s	test10	A	D	471	9	5f8l	0.7220	1.000	1.000	471		0.0000				0.7220	0.0000	0	0	0
5dox_TA_FA	5dox	dev40	TA	FA	89	1521	1hnw	0.9530	1.000	1.000	89	4b3r	1.0000	1.000	1.000	1521	0.9530	1.0000	1	1	1
5f9f_A_B	5f9f	dev40	A	B	695	24	8g7u	0.9750	0.999	0.750	694		0.0000				0.9750	0.0000	0	0	0
5v7q_X_G	5v7q	dev40	X	G	197	3138	8vr4	0.7210	0.685	0.889	136		0.0000				0.7210	0.8180	0	0	0
6g4s_S_A	6g4s	dev40	S	A	130	1882	9ruc	0.9800	1.000	1.000	130	6zv6	1.0000	0.993	1.000	1869	0.9800	1.0000	1	1	1
6hct_G_E	6hct	dev40	G	E	117	11	8hkx	0.6130	0.974	0.927	114		0.0000				0.6130	0.0000	0	0	0
6n8m_H_A	6n8m	dev40	H	A	297	3396	8agz	0.9340	1.000	1.000	297	8v87	1.0000	1.000	1.000	3396	0.9340	1.0000	1	1	1
6nut_A_B	6nut	test10	A	B	450	6		0.0000					0.0000				0.0000	0.0000	0	0	0
6ppp_C_A	6ppp	dev40	C	A	95	6	5zwo	0.4880	0.863	0.854	82		0.0000				0.4880	0.0000	0	0	0
6qw6_Y_N	6qw6	dev40	Y	N	240	117		0.0000					0.0000				0.9680	0.0000	0	0	0
6s6b_K_L	6s6b	dev40	K	L	1037	51		0.0000					0.0000				0.0000	0.0000	0	0	0
6wnv_N_YA	6wnv	dev40	N	YA	123	1539	9ax8	0.9630	1.000	1.000	123	6wdm	1.0000	1.000	1.000	1539	0.9630	1.0000	1	1	1
7bhp_OA_A	7bhp	dev40	OA	A	106	5070	8idy	0.9750	1.000	1.000	106	9ruc	0.9990	1.000	1.000	5069	0.9750	1.0000	1	1	1
7c08_A_C	7c08	dev40	A	C	216	6		0.0000					0.0000				0.0000	0.0000	0	0	0
7n3o_A_B	7n3o	dev40	A	B	639	265		0.0000					0.0000				0.0000	1.0000	0	0	0
7orl_B_A	7orl	dev40	B	A	2276	15	7orn	0.9670	1.000	1.000	2276		0.0000				0.9670	0.0000	0	0	0
7p7u_V_J	7p7u	dev40	V	J	118	116	1nwx	0.5560	0.898	0.947	107		0.0000				0.5560	0.0000	0	0	0
7py3_D_G	7py3	dev40	D	G	1407	39	9guw	0.9420	0.999	1.000	1406	9guw	1.0000	1.000	1.000	39	0.9420	1.0000	1	1	1
7q3l_G_E	7q3l	dev40	G	E	803	188		0.0000					0.0000				0.0000	0.8480	0	0	0
7rim_G_C	7rim	dev40	G	C	215	20	4a3k	0.9600	1.000	1.000	215		0.0000				0.9600	0.0000	0	0	0
7uwe_F_A	7uwe	dev40	F	A	1342	29	9guw	0.9520	1.000	1.000	1342		0.0000				0.9520	0.0000	0	0	0
7uzx_A_H	7uzx	dev40	A	H	214	37	9g9a	0.7010	1.000	1.000	214		0.0000				0.7010	0.0000	0	0	0
7v9u_A_D	7v9u	dev40	A	D	320	81	9kk2	0.2450	0.891	0.910	293		0.0000				0.2500	0.0000	0	0	0
7y7q_A_D	7y7q	test10	A	D	1026	7		0.0000					0.0000				0.0000	0.0000	0	0	0
8b0j_A_G	8b0j	dev40	A	G	284	207		0.0000					0.0000				0.0000	0.0000	0	0	0
8bws_E_S	8bws	test10	E	S	215	52	4a3k	0.9600	1.000	1.000	215		0.0000				0.9600	0.0000	0	0	0
8g4i_T_A	8g4i	test10	T	A	158	1451	9j9i	0.4100	0.842	0.782	133		0.0000				0.4100	0.7650	0	0	0
8h67_E_B	8h67	dev40	E	B	301	11		0.0000					0.0000				0.0000	0.0000	0	0	0
8i0w_WA_I	8i0w	dev40	WA	I	654	188		0.0000					0.0000				0.3420	0.8480	0	0	0
8k59_A_I	8k59	test10	A	I	1340	63	9guw	0.9520	1.000	0.999	1340		0.0000				0.9520	0.0000	0	0	0
8k5p_A_L	8k5p	dev40	A	L	1733	20	5c3e	0.9450	1.000	1.000	1733		0.0000				0.9450	0.0000	0	0	0
8pkl_G_H	8pkl	dev40	G	H	65	2920	9cg5	0.9440	1.000	1.000	65	3jbu	0.9990	0.994	1.000	2904	0.9440	0.9990	1	1	1
8u72_N_B	8u72	dev40	N	B	507	45	8spo	0.8520	1.000	1.000	507		0.0000				0.8520	0.0000	0	0	0
9h9n_G_A	9h9n	test10	G	A	124	1541	3jbu	0.9630	1.000	1.000	124	9cg5	0.9990	1.000	1.000	1542	0.9630	0.9990	1	1	1
9jwk_A_B	9jwk	test10	A	B	1372	125	7s4x	0.2500	0.988	0.993	1358		0.0000				0.2500	0.0000	0	0	0
9k11_D_C	9k11	dev40	D	C	2032	20	9k13	0.9450	1.000	1.000	2032		0.0000				0.9450	0.0000	0	0	0
9k31_A_C	9k31	dev40	A	C	781	43		0.0000					0.0000				0.8200	0.0000	0	0	0
9kbz_A_C	9kbz	dev40	A	C	1720	57		0.0000					0.0000				0.7820	0.0000	0	0	0
9mna_C_E	9mna	dev40	C	E	1230	66	9mn8	0.9660	1.000	1.000	1230	9mn8	0.9690	1.000	1.000	66	0.9660	0.9690	1	1	1
9oy8_B_A	9oy8	dev40	B	A	254	1520	8cdu	0.5420	0.929	0.947	236	7unw	0.7630	0.690	0.693	1064	0.5420	0.8270	1	1	0
9pij_J_F	9pij	dev40	J	F	167	1542	9ax8	0.9300	0.898	1.000	150	9cg5	1.0000	1.000	1.000	1542	0.9300	1.0000	1	1	1
9yck_B_C	9yck	dev40	B	C	524	39	9ycn	1.0000	1.000	1.000	524		0.0000				1.0000	0.0000	0	0	0
