knn_f1,knn_precision,knn_recall,knn_tp,n_map_p,n_map_r,n_pool_pdbs,n_pool_with_contacts,nearest_train_protein,neighbor_definition,protein_identity,status,thr,train_fraction,val_case
0.0,,,,,,20,18,,best protein-seq identity within frozen pct10 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_sequences,,pct10,1m5p_G_C
0.0,,,,,,20,18,,best protein-seq identity within frozen pct10 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_sequences,,pct10,1m8w_F_D
0.0,,,,,,20,18,1hnw,best protein-seq identity within frozen pct10 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.2508591065292096,skipped_low_identity,0.4,pct10,21bh_G_M
0.0,,,,,,20,18,,best protein-seq identity within frozen pct10 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_sequences,,pct10,2b2d_C_A
0.0,,,,,,20,18,,best protein-seq identity within frozen pct10 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_sequences,,pct10,3bo4_D_A
0.0,,,,,,20,18,4gzy,best protein-seq identity within frozen pct10 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.29591836734693877,skipped_low_identity,0.4,pct10,3gtm_B_M
0.0,,,,,,20,18,,best protein-seq identity within frozen pct10 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_sequences,,pct10,3ud4_A_B
0.0,,,,,,20,18,9ruc,best protein-seq identity within frozen pct10 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.3793103448275862,skipped_low_identity,0.4,pct10,4dv1_U_A
0.0,,,,,,20,18,8g7v,best protein-seq identity within frozen pct10 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.270042194092827,skipped_low_identity,0.4,pct10,4k4s_A_D
0.0,,,,,,20,18,,best protein-seq identity within frozen pct10 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_val_contacts,,pct10,5dox_TA_FA
0.0,0.0,0.0,0,608,19,20,18,8g7v,best protein-seq identity within frozen pct10 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.890190336749634,scored,0.4,pct10,5f9f_A_B
0.0,,,,,,20,18,,best protein-seq identity within frozen pct10 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_val_contacts,,pct10,5v7q_X_G
0.0,,,,,,20,18,,best protein-seq identity within frozen pct10 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_val_contacts,,pct10,6g4s_S_A
0.0,,,,,,20,18,1hnw,best protein-seq identity within frozen pct10 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.2372093023255814,skipped_low_identity,0.4,pct10,6hct_G_E
0.0,,,,,,20,18,,best protein-seq identity within frozen pct10 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_val_contacts,,pct10,6n8m_H_A
0.0,,,,,,20,18,,best protein-seq identity within frozen pct10 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_sequences,,pct10,6nut_A_B
0.0,,,,,,20,18,5ef0,best protein-seq identity within frozen pct10 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.29069767441860467,skipped_low_identity,0.4,pct10,6ppp_C_A
