val_case,pdb_id,protein_identity,rna_identity,both_ge40,cluster_disjoint_candidate,nearest_train_protein,nearest_train_rna
1m5p_G_C,1m5p,0.957,0.0,0,0,2oj3,
1m8w_F_D,1m8w,0.0,0.0,0,1,,
21bh_G_M,21bh,0.246,0.0,0,1,9nh6,
2b2d_C_A,2b2d,0.934,0.0,0,0,1zdj,
3bo4_D_A,3bo4,0.95,0.0,0,0,3ucz,
3gtm_B_M,3gtm,0.968,1.0,1,0,4a3k,5c3e
3ud4_A_B,3ud4,0.954,0.989,1,0,3ucz,3ucz
4dv1_U_A,4dv1,0.942,0.999,1,0,9dfe,2zm6
4k4s_A_D,4k4s,0.722,0.0,0,0,5f8l,
5dox_TA_FA,5dox,0.953,1.0,1,0,1hnw,4b3r
5f9f_A_B,5f9f,0.975,0.0,0,0,8g7u,
5v7q_X_G,5v7q,0.721,0.0,0,0,8vr4,
6g4s_S_A,6g4s,0.98,1.0,1,0,9ruc,6zv6
6hct_G_E,6hct,0.613,0.0,0,0,8hkx,
6n8m_H_A,6n8m,0.934,1.0,1,0,8agz,8v87
6nut_A_B,6nut,0.0,0.0,0,1,,
6ppp_C_A,6ppp,0.488,0.0,0,0,5zwo,
6qw6_Y_N,6qw6,0.0,0.0,0,1,,
6s6b_K_L,6s6b,0.0,0.0,0,1,,
6wnv_N_YA,6wnv,0.963,1.0,1,0,9ax8,6wdm
7bhp_OA_A,7bhp,0.975,0.999,1,0,8idy,9ruc
7c08_A_C,7c08,0.0,0.0,0,1,,
7n3o_A_B,7n3o,0.0,0.0,0,1,,
7orl_B_A,7orl,0.967,0.0,0,0,7orn,
7p7u_V_J,7p7u,0.556,0.0,0,0,1nwx,
7py3_D_G,7py3,0.942,1.0,1,0,9guw,9guw
7q3l_G_E,7q3l,0.0,0.0,0,1,,
7rim_G_C,7rim,0.96,0.0,0,0,4a3k,
7uwe_F_A,7uwe,0.952,0.0,0,0,9guw,
7uzx_A_H,7uzx,0.701,0.0,0,0,9g9a,
7v9u_A_D,7v9u,0.245,0.0,0,1,9kk2,
7y7q_A_D,7y7q,0.0,0.0,0,1,,
8b0j_A_G,8b0j,0.0,0.0,0,1,,
8bws_E_S,8bws,0.96,0.0,0,0,4a3k,
8g4i_T_A,8g4i,0.41,0.0,0,0,9j9i,
8h67_E_B,8h67,0.0,0.0,0,1,,
8i0w_WA_I,8i0w,0.0,0.0,0,1,,
8k59_A_I,8k59,0.952,0.0,0,0,9guw,
8k5p_A_L,8k5p,0.945,0.0,0,0,5c3e,
8pkl_G_H,8pkl,0.944,0.999,1,0,9cg5,3jbu
8u72_N_B,8u72,0.852,0.0,0,0,8spo,
9h9n_G_A,9h9n,0.963,0.999,1,0,3jbu,9cg5
9jwk_A_B,9jwk,0.25,0.0,0,1,7s4x,
9k11_D_C,9k11,0.945,0.0,0,0,9k13,
9k31_A_C,9k31,0.0,0.0,0,1,,
9kbz_A_C,9kbz,0.0,0.0,0,1,,
9mna_C_E,9mna,0.966,0.969,1,0,9mn8,9mn8
9oy8_B_A,9oy8,0.542,0.763,1,0,8cdu,7unw
9pij_J_F,9pij,0.93,1.0,1,0,9ax8,9cg5
9yck_B_C,9yck,1.0,0.0,0,0,9ycn,
