pdb_id	release_date	resolution	est_tokens	n_protein_entities	n_rna_entities	max_protein_len	max_rna_len	protein_chains	rna_chains	title	series	in_temporal15
9ypf	2026-06-10	3.5	353	1	1	313	40	A,B,C,D,E,F:313	G:40	S. aureus YhaM D193A hexamer, 3 NTDs, hairpin RNA substrate	s aureus yham	yes
10fb	2026-07-15	3.01	460	1	1	375	85	A,B:375	C:85	E. coli TGT covalent intermediate with 1 tRNA	e coli tgt	yes
9ows	2026-06-10	2.87	533	1	1	116	417	B:116	A:417	Structure of Geobacillus stearothermophilus RNase P holoenzyme in 5 mM Mg2+	rnase_p	yes
9lje	2026-07-15	2.75	714	1	1	434	280	A:434	B:280	Cryo-EM structure of the DRT2-ncRNA complex	cryo em structure	yes
22av	2026-06-24	3.34	845	1	1	767	78	A:767	B:78	Cryo-EM structure of NSUN2-tRNATyr-SAM	nsun2	yes
22ax	2026-06-24	3.3	877	1	1	767	110	A:767	B:110	Cryo-EM structure of NSUN2-pre-tRNALeu-SAM	nsun2	no
9zy1	2026-07-15	3.2	223	3	2	215	8	1,A:215;3,C:183;2,B:182	E:8;D:8	Cryo-EM structure of the dimeric HIV-2 Vif-human APOBEC3H-CBFbeta complex	vif_apobec	yes
13fo	2026-06-17	3.2	430	2	1	354	76	D:354;B,X:211	T:76	Thermotoga maritima threonylcarbamoyl transfer complex (TsaB2D) in complex with Thermotoga maritima tRNA(LYS)	thermotoga maritima threonylcarbamoyl	yes
9rv1	2026-06-24	2.62	443	4	1	428	15	H:428;C:70;B:399;A:404	1:15	Cryo-EM structure of the human UAP56-RNA - SAC3D1-PCID2-SEM1 complex	uap56	yes
9owy	2026-06-10	2.69	533	1	2	116	417	B:116	C:111;A:417	Structure of Geobacillus stearothermophilus RNase P holoenzyme in complex with the precursor tRNA with loop-back 5' leader (sub-conformation 2 of tRNA anticodon arm tilted)	rnase_p	no
9owx	2026-06-10	2.7	533	1	2	116	417	B:116	C:111;A:417	Structure of Geobacillus stearothermophilus RNase P holoenzyme in complex with the precursor tRNA with loop-back 5' leader (sub-conformation 1 of tRNA anticodon arm tilted)	rnase_p	no
9owt	2026-06-10	2.82	533	1	2	116	417	B:116	A:417;C,E:92	Structure of Geobacillus stearothermophilus RNase P holoenzyme in complex with precursor tRNA in 5 mM Ca2+	rnase_p	no
9oww	2026-06-10	2.83	533	1	2	116	417	B:116	C:92;A:417	Structure of Geobacillus stearothermophilus RNase P holoenzyme in complex with the precursor tRNA with non-complementary 5' leader	rnase_p	no
