Train_fraction,case,method,status,F1_raw,F1_failure_aware,recall_failure_aware,n_recovered,n_native,n_predicted
10%,1m5p_G_C,base,evaluable,0.0,0.0,0.0,0,60,67
10%,1m8w_F_D,base,evaluable,0.0,0.0,0.0,0,46,49
10%,21bh_G_M,base,evaluable,0.06666666666666667,0.06666666666666667,0.07272727272727272,4,55,65
10%,2b2d_C_A,base,evaluable,0.3125,0.3125,0.29411764705882354,5,17,15
10%,3bo4_D_A,base,missing_prediction,,0.0,0.0,,,
10%,3gtm_B_M,base,missing_prediction,,0.0,0.0,,,
10%,3ud4_A_B,base,missing_prediction,,0.0,0.0,,,
10%,4dv1_U_A,base,missing_prediction,,0.0,0.0,,,
10%,4k4s_A_D,base,evaluable,0.0,0.0,0.0,0,8,40
10%,5dox_TA_FA,base,missing_prediction,,0.0,0.0,,,
10%,5f9f_A_B,base,missing_prediction,,0.0,0.0,,,
10%,5v7q_X_G,base,pipeline_error,,0.0,0.0,,,
10%,6g4s_S_A,base,missing_prediction,,0.0,0.0,,,
10%,6hct_G_E,base,evaluable,0.0,0.0,0.0,0,30,31
10%,6n8m_H_A,base,pipeline_error,,0.0,0.0,,,
10%,6nut_A_B,base,evaluable,0.0,0.0,0.0,0,49,34
10%,6ppp_C_A,base,evaluable,0.0,0.0,0.0,0,10,15
10%,6qw6_Y_N,base,evaluable,0.010638297872340425,0.010638297872340425,0.02857142857142857,1,35,153
10%,6s6b_K_L,base,missing_prediction,,0.0,0.0,,,
10%,6wnv_N_YA,base,missing_prediction,,0.0,0.0,,,
10%,7bhp_OA_A,base,pipeline_error,,0.0,0.0,,,
10%,7c08_A_C,base,evaluable,0.0,0.0,0.0,0,44,30
10%,7n3o_A_B,base,missing_prediction,,0.0,0.0,,,
10%,7orl_B_A,base,missing_prediction,,0.0,0.0,,,
10%,7p7u_V_J,base,pipeline_error,,0.0,0.0,,,
10%,7py3_D_G,base,missing_prediction,,0.0,0.0,,,
10%,7q3l_G_E,base,missing_prediction,,0.0,0.0,,,
10%,7rim_G_C,base,pipeline_error,,0.0,0.0,,,
10%,7uwe_F_A,base,missing_prediction,,0.0,0.0,,,
10%,7uzx_A_H,base,evaluable,0.0,0.0,0.0,0,49,77
10%,7v9u_A_D,base,evaluable,0.0,0.0,0.0,0,129,73
10%,7y7q_A_D,base,missing_prediction,,0.0,0.0,,,
10%,8b0j_A_G,base,evaluable,0.0,0.0,0.0,0,47,197
10%,8bws_E_S,base,pipeline_error,,0.0,0.0,,,
10%,8g4i_T_A,base,missing_prediction,,0.0,0.0,,,
10%,8h67_E_B,base,evaluable,0.0847457627118644,0.0847457627118644,0.09615384615384616,5,52,66
10%,8i0w_WA_I,base,missing_prediction,,0.0,0.0,,,
10%,8k59_A_I,base,missing_prediction,,0.0,0.0,,,
10%,8k5p_A_L,base,missing_prediction,,0.0,0.0,,,
10%,8pkl_G_H,base,pipeline_error,,0.0,0.0,,,
10%,8u72_N_B,base,evaluable,0.0,0.0,0.0,0,62,47
10%,9h9n_G_A,base,missing_prediction,,0.0,0.0,,,
10%,9jwk_A_B,base,missing_prediction,,0.0,0.0,,,
