case	pdb_id	subset	protein_len	rna_len	max_protein_identity_vs_train	max_rna_identity_vs_train
1m5p_G_C	1m5p	dev40	100	92	1.0000	0.5326
1m8w_F_D	1m8w	dev40	349	7	0.2550	0.5714
21bh_G_M	21bh	test10	609	60	0.2533	0.5323
2b2d_C_A	2b2d	dev40	129	20	0.9845	0.5909
3bo4_D_A	3bo4	dev40	95	197	0.9694	0.5178
3gtm_B_M	3gtm	dev40	1224	28	1.0000	0.6222
3ud4_A_B	3ud4	test10	98	92	1.0000	0.9891
4dv1_U_A	4dv1	dev40	27	1522	1.0000	0.9987
4k4s_A_D	4k4s	test10	471	9	0.6730	0.6667
5dox_TA_FA	5dox	dev40	89	1521	1.0000	1.0000
5f9f_A_B	5f9f	dev40	695	24	0.7824	0.6207
5v7q_X_G	5v7q	dev40	197	3138	0.6345	0.9098
6g4s_S_A	6g4s	dev40	130	1882	1.0000	0.9931
6hct_G_E	6hct	dev40	117	11	0.5691	0.6364
6n8m_H_A	6n8m	dev40	297	3396	1.0000	1.0000
6nut_A_B	6nut	test10	450	6	0.2489	1.0000
6ppp_C_A	6ppp	dev40	95	6	0.3579	0.8333
6qw6_Y_N	6qw6	dev40	240	117	0.2625	0.5102
6s6b_K_L	6s6b	dev40	1037	51	0.2517	0.5342
6wnv_N_YA	6wnv	dev40	123	1539	1.0000	1.0000
7bhp_OA_A	7bhp	dev40	106	5070	1.0000	1.0000
7c08_A_C	7c08	dev40	216	6	0.2593	0.5000
7n3o_A_B	7n3o	dev40	639	265	0.2427	0.5057
7orl_B_A	7orl	dev40	2276	15	1.0000	0.6250
7p7u_V_J	7p7u	dev40	118	116	0.5678	0.7311
7py3_D_G	7py3	dev40	1407	39	1.0000	1.0000
7q3l_G_E	7q3l	dev40	803	188	0.2416	0.5000
7rim_G_C	7rim	dev40	215	20	1.0000	0.7000
7uwe_F_A	7uwe	dev40	1342	29	1.0000	0.6000
7uzx_A_H	7uzx	dev40	214	37	0.7243	0.5676
7v9u_A_D	7v9u	dev40	320	81	0.2594	0.5340
7y7q_A_D	7y7q	test10	1026	7	0.2392	0.5556
8b0j_A_G	8b0j	dev40	284	207	0.2535	0.5169
8bws_E_S	8bws	test10	215	52	1.0000	0.5385
8g4i_T_A	8g4i	test10	158	1451	0.3118	0.6193
8h67_E_B	8h67	dev40	301	11	0.2625	0.5714
8i0w_WA_I	8i0w	dev40	654	188	0.2401	0.5000
8k59_A_I	8k59	test10	1340	63	0.9985	0.5238
8k5p_A_L	8k5p	dev40	1733	20	1.0000	0.5667
8pkl_G_H	8pkl	dev40	65	2920	1.0000	0.9938
8u72_N_B	8u72	dev40	507	45	0.8146	0.5435
9h9n_G_A	9h9n	test10	124	1541	1.0000	1.0000
9jwk_A_B	9jwk	test10	1372	125	0.2813	0.5280
9k11_D_C	9k11	dev40	2032	20	1.0000	0.7500
9k31_A_C	9k31	dev40	781	43	0.2535	0.4884
9kbz_A_C	9kbz	dev40	1720	57	0.2395	0.5965
9mna_C_E	9mna	dev40	1230	66	1.0000	0.9697
9oy8_B_A	9oy8	dev40	254	1520	0.5157	0.7529
9pij_J_F	9pij	dev40	167	1542	1.0000	1.0000
9yck_B_C	9yck	dev40	524	39	1.0000	0.5897
