query_set	n_query	threshold	coverage_rule	n_protein_neighbor	n_rna_neighbor	n_both_partners_neighbor
val50	50	0.30	qcov>=0.7 & tcov>=0.7 (or alnlen/minlen>=0.7 with min(qcov,tcov)>=0.5)	34	14	14
val50	50	0.40	qcov>=0.7 & tcov>=0.7 (or alnlen/minlen>=0.7 with min(qcov,tcov)>=0.5)	34	14	14
val50	50	0.50	qcov>=0.7 & tcov>=0.7 (or alnlen/minlen>=0.7 with min(qcov,tcov)>=0.5)	32	14	14
val50	50	0.70	qcov>=0.7 & tcov>=0.7 (or alnlen/minlen>=0.7 with min(qcov,tcov)>=0.5)	29	14	13
val50	50	0.90	qcov>=0.7 & tcov>=0.7 (or alnlen/minlen>=0.7 with min(qcov,tcov)>=0.5)	25	13	13
val50	50	1.00	qcov>=0.7 & tcov>=0.7 (or alnlen/minlen>=0.7 with min(qcov,tcov)>=0.5)	1	7	0
test10	10	0.30	qcov>=0.7 & tcov>=0.7 (or alnlen/minlen>=0.7 with min(qcov,tcov)>=0.5)	6	2	2
test10	10	0.40	qcov>=0.7 & tcov>=0.7 (or alnlen/minlen>=0.7 with min(qcov,tcov)>=0.5)	6	2	2
test10	10	0.50	qcov>=0.7 & tcov>=0.7 (or alnlen/minlen>=0.7 with min(qcov,tcov)>=0.5)	5	2	2
test10	10	0.70	qcov>=0.7 & tcov>=0.7 (or alnlen/minlen>=0.7 with min(qcov,tcov)>=0.5)	5	2	2
test10	10	0.90	qcov>=0.7 & tcov>=0.7 (or alnlen/minlen>=0.7 with min(qcov,tcov)>=0.5)	4	2	2
test10	10	1.00	qcov>=0.7 & tcov>=0.7 (or alnlen/minlen>=0.7 with min(qcov,tcov)>=0.5)	0	0	0
dev40	40	0.30	qcov>=0.7 & tcov>=0.7 (or alnlen/minlen>=0.7 with min(qcov,tcov)>=0.5)	28	12	12
dev40	40	0.40	qcov>=0.7 & tcov>=0.7 (or alnlen/minlen>=0.7 with min(qcov,tcov)>=0.5)	28	12	12
dev40	40	0.50	qcov>=0.7 & tcov>=0.7 (or alnlen/minlen>=0.7 with min(qcov,tcov)>=0.5)	27	12	12
dev40	40	0.70	qcov>=0.7 & tcov>=0.7 (or alnlen/minlen>=0.7 with min(qcov,tcov)>=0.5)	24	12	11
dev40	40	0.90	qcov>=0.7 & tcov>=0.7 (or alnlen/minlen>=0.7 with min(qcov,tcov)>=0.5)	21	11	11
dev40	40	1.00	qcov>=0.7 & tcov>=0.7 (or alnlen/minlen>=0.7 with min(qcov,tcov)>=0.5)	1	7	0
