Train_fraction,case,base_status,psmp_status,in_paired_intersection
10%,1m5p_G_C,evaluable,evaluable,1
10%,1m8w_F_D,evaluable,evaluable,1
10%,21bh_G_M,evaluable,missing_prediction,0
10%,2b2d_C_A,evaluable,missing_prediction,0
10%,3bo4_D_A,missing_prediction,evaluable,0
10%,3gtm_B_M,missing_prediction,missing_prediction,0
10%,3ud4_A_B,missing_prediction,evaluable,0
10%,4dv1_U_A,missing_prediction,missing_prediction,0
10%,4k4s_A_D,evaluable,evaluable,1
10%,5dox_TA_FA,missing_prediction,missing_prediction,0
10%,5f9f_A_B,missing_prediction,missing_prediction,0
10%,5v7q_X_G,missing_prediction,missing_prediction,0
10%,6g4s_S_A,missing_prediction,missing_prediction,0
10%,6hct_G_E,evaluable,evaluable,1
10%,6n8m_H_A,missing_prediction,missing_prediction,0
10%,6nut_A_B,evaluable,evaluable,1
10%,6ppp_C_A,evaluable,evaluable,1
10%,6qw6_Y_N,evaluable,evaluable,1
10%,6s6b_K_L,missing_prediction,missing_prediction,0
10%,6wnv_N_YA,missing_prediction,missing_prediction,0
10%,7bhp_OA_A,missing_prediction,missing_prediction,0
10%,7c08_A_C,evaluable,evaluable,1
10%,7n3o_A_B,missing_prediction,missing_prediction,0
10%,7orl_B_A,missing_prediction,missing_prediction,0
10%,7p7u_V_J,no_interface,no_interface,0
10%,7py3_D_G,missing_prediction,missing_prediction,0
10%,7q3l_G_E,missing_prediction,missing_prediction,0
10%,7rim_G_C,no_interface,no_interface,0
10%,7uwe_F_A,missing_prediction,missing_prediction,0
10%,7uzx_A_H,evaluable,missing_prediction,0
10%,7v9u_A_D,evaluable,evaluable,1
10%,7y7q_A_D,missing_prediction,missing_prediction,0
10%,8b0j_A_G,evaluable,missing_prediction,0
10%,8bws_E_S,no_interface,no_interface,0
10%,8g4i_T_A,missing_prediction,missing_prediction,0
10%,8h67_E_B,evaluable,evaluable,1
10%,8i0w_WA_I,missing_prediction,missing_prediction,0
10%,8k59_A_I,missing_prediction,missing_prediction,0
10%,8k5p_A_L,missing_prediction,missing_prediction,0
10%,8pkl_G_H,missing_prediction,missing_prediction,0
10%,8u72_N_B,evaluable,evaluable,1
10%,9h9n_G_A,missing_prediction,missing_prediction,0
10%,9jwk_A_B,missing_prediction,missing_prediction,0
10%,9k11_D_C,missing_prediction,missing_prediction,0
10%,9k31_A_C,missing_prediction,missing_prediction,0
10%,9kbz_A_C,missing_prediction,missing_prediction,0
10%,9mna_C_E,missing_prediction,missing_prediction,0
10%,9oy8_B_A,missing_prediction,missing_prediction,0
10%,9pij_J_F,missing_prediction,missing_prediction,0
10%,9yck_B_C,missing_prediction,missing_prediction,0
25%,1m5p_G_C,evaluable,evaluable,1
25%,1m8w_F_D,missing_prediction,evaluable,0
25%,21bh_G_M,missing_prediction,missing_prediction,0
25%,2b2d_C_A,missing_prediction,evaluable,0
25%,3bo4_D_A,missing_prediction,evaluable,0
25%,3gtm_B_M,missing_prediction,missing_prediction,0
25%,3ud4_A_B,evaluable,evaluable,1
25%,4dv1_U_A,missing_prediction,missing_prediction,0
25%,4k4s_A_D,missing_prediction,evaluable,0
25%,5dox_TA_FA,missing_prediction,missing_prediction,0
25%,5f9f_A_B,missing_prediction,missing_prediction,0
25%,5v7q_X_G,missing_prediction,missing_prediction,0
25%,6g4s_S_A,missing_prediction,missing_prediction,0
25%,6hct_G_E,missing_prediction,evaluable,0
25%,6n8m_H_A,missing_prediction,missing_prediction,0
25%,6nut_A_B,evaluable,evaluable,1
25%,6ppp_C_A,evaluable,missing_prediction,0
25%,6qw6_Y_N,missing_prediction,missing_prediction,0
25%,6s6b_K_L,missing_prediction,missing_prediction,0
25%,6wnv_N_YA,missing_prediction,missing_prediction,0
25%,7bhp_OA_A,missing_prediction,missing_prediction,0
25%,7c08_A_C,evaluable,evaluable,1
25%,7n3o_A_B,missing_prediction,missing_prediction,0
25%,7orl_B_A,missing_prediction,missing_prediction,0
25%,7p7u_V_J,no_interface,missing_prediction,0
25%,7py3_D_G,missing_prediction,missing_prediction,0
25%,7q3l_G_E,missing_prediction,missing_prediction,0
25%,7rim_G_C,missing_prediction,no_interface,0
25%,7uwe_F_A,missing_prediction,missing_prediction,0
25%,7uzx_A_H,evaluable,evaluable,1
25%,7v9u_A_D,evaluable,evaluable,1
25%,7y7q_A_D,missing_prediction,missing_prediction,0
25%,8b0j_A_G,missing_prediction,evaluable,0
25%,8bws_E_S,missing_prediction,no_interface,0
25%,8g4i_T_A,missing_prediction,missing_prediction,0
25%,8h67_E_B,missing_prediction,missing_prediction,0
25%,8i0w_WA_I,missing_prediction,missing_prediction,0
25%,8k59_A_I,missing_prediction,missing_prediction,0
25%,8k5p_A_L,missing_prediction,missing_prediction,0
25%,8pkl_G_H,missing_prediction,missing_prediction,0
25%,8u72_N_B,missing_prediction,evaluable,0
