Train_fraction,subset,n_cases,n_ok_base,n_ok_psmp,n_pair,Base_F1_pair,pSMP_F1_pair,Delta_F1,Wilcoxon_p_F1_onesided,note
10%,val50,50,29,24,24,0.01905376958699281,0.0777959317404974,0.058742162153504585,0.008529359265747258,same five-sample val50 reinference round
10%,spotlight10,10,7,6,6,0.018413294405616665,0.05216747153046445,0.03375417712484778,0.0625,same five-sample val50 reinference round
10%,dev40,40,22,18,18,0.019267261314118194,0.08633875181050837,0.06707149049639019,0.04630034891033788,same five-sample val50 reinference round
25%,val50,50,24,24,24,0.020108120615646544,0.06245169259365486,0.04234357197800831,0.10471337848051859,same five-sample val50 reinference round
25%,spotlight10,10,6,6,6,0.03060263653483993,0.012820512820512822,-0.017782123714327105,0.75,same five-sample val50 reinference round
25%,dev40,40,18,18,18,0.016609948642582084,0.07899541918470221,0.062385470542120104,0.05706416388111932,same five-sample val50 reinference round
50%,val50,50,24,22,22,0.020500597136122088,0.0664162892176683,0.0459156920815462,0.17326085585305362,same five-sample val50 reinference round
50%,spotlight10,10,6,6,6,0.01683820234518557,0.015862761986792994,-0.0009754403583925765,0.75,same five-sample val50 reinference round
50%,dev40,40,18,16,16,0.02187399518272328,0.08537386192924654,0.06349986674652326,0.1569690468874574,same five-sample val50 reinference round
100%,val50,50,24,24,24,0.055031326969759396,0.056879711870524374,0.0018483849007649832,0.2754618413867035,same five-sample val50 reinference round
100%,spotlight10,10,6,6,6,0.047619047619047616,0.014076579993374532,-0.03354246762567308,0.6875,same five-sample val50 reinference round
100%,dev40,40,18,18,18,0.05750208675332999,0.07114742249624101,0.013645335742911005,0.1569690468874574,same five-sample val50 reinference round
