Train_fraction,case,subset,base_status,psmp_status,base_f1,psmp_f1,base_iflddt,psmp_iflddt,base_n_samples,psmp_n_samples,in_paired_intersection
10%,1m5p_G_C,dev40,evaluable,evaluable,0.0,0.08620689655172413,0.2396248389408022,0.32562245472206014,5,5,1
10%,1m8w_F_D,dev40,evaluable,evaluable,0.0,0.8791208791208792,0.7825687230745456,0.9338562628803708,5,5,1
10%,21bh_G_M,spotlight10,evaluable,missing_prediction_no_cif,0.0,,0.1799653374218243,,5,,0
10%,2b2d_C_A,dev40,evaluable,evaluable,0.30303030303030304,0.15789473684210528,0.6423756798756799,0.5225427350427351,5,5,1
10%,3bo4_D_A,dev40,evaluable,evaluable,0.0,0.05825242718446602,0.2977922161554238,0.49337110467463385,5,5,1
10%,3gtm_B_M,dev40,evaluable,missing_prediction_no_cif,0.0,,0.16544072247197247,,5,,0
10%,3ud4_A_B,spotlight10,evaluable,evaluable,0.01834862385321101,0.07142857142857142,0.3327787946873625,0.2892659239579529,5,5,1
10%,4dv1_U_A,dev40,evaluable,missing_prediction_no_cif,0.0,,0.16192630999333574,,5,,0
10%,4k4s_A_D,spotlight10,evaluable,evaluable,0.0,0.04651162790697674,0.25,0.3263888888888889,5,5,1
10%,5dox_TA_FA,dev40,evaluable,missing_prediction_no_cif,0.0,,0.2511629099559213,,5,,0
10%,5f9f_A_B,dev40,evaluable,missing_prediction_no_cif,0.0,,0.19125048904881112,,5,,0
10%,5v7q_X_G,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
10%,6g4s_S_A,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
10%,6hct_G_E,dev40,evaluable,evaluable,0.03389830508474576,0.15,0.25150659673517733,0.3236677422818726,5,5,1
10%,6n8m_H_A,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
10%,6nut_A_B,spotlight10,evaluable,evaluable,0.0588235294117647,0.08695652173913043,0.21317418512441264,0.22796877029642604,5,5,1
10%,6ppp_C_A,dev40,evaluable,evaluable,0.0,0.0,0.19603174603174606,0.21269841269841266,5,5,1
10%,6qw6_Y_N,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
10%,6s6b_K_L,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
10%,6wnv_N_YA,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
10%,7bhp_OA_A,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
10%,7c08_A_C,dev40,evaluable,evaluable,0.0,0.11627906976744186,0.27634438804729944,0.30245372339780174,5,5,1
10%,7n3o_A_B,dev40,evaluable,evaluable,0.0,0.0,0.19275256438289595,0.18705013187596262,5,5,1
10%,7orl_B_A,dev40,evaluable,evaluable,0.0,0.0,0.17405140591099078,0.17273874536437678,5,5,1
10%,7p7u_V_J,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
10%,7py3_D_G,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
10%,7q3l_G_E,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
10%,7rim_G_C,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
10%,7uwe_F_A,dev40,evaluable,evaluable,0.0,0.0,0.14881079592032936,0.15698691662180506,5,5,1
10%,7uzx_A_H,dev40,evaluable,evaluable,0.0,0.0,0.22159685868379447,0.29050089089148595,5,5,1
10%,7v9u_A_D,dev40,evaluable,evaluable,0.0,0.0,0.2754465492568248,0.27861994473119156,5,5,1
10%,7y7q_A_D,spotlight10,evaluable,evaluable,0.03125000000000001,0.1081081081081081,0.2063830019187162,0.18174414870843442,5,5,1
10%,8b0j_A_G,dev40,evaluable,evaluable,0.0,0.0,0.19212371264001699,0.2034846267862572,5,5,1
10%,8bws_E_S,spotlight10,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
10%,8g4i_T_A,spotlight10,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
10%,8h67_E_B,dev40,evaluable,evaluable,0.0,0.07633587786259544,0.2183992746656199,0.23067129210179246,5,5,1
10%,8i0w_WA_I,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
10%,8k59_A_I,spotlight10,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
10%,8k5p_A_L,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
10%,8pkl_G_H,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
10%,8u72_N_B,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
10%,9h9n_G_A,spotlight10,evaluable,evaluable,0.0,0.0,0.22519619407519653,0.23986930637841505,5,5,1
10%,9jwk_A_B,spotlight10,evaluable,evaluable,0.00205761316872428,0.0,0.1868974887174881,0.1836630189213787,5,5,1
10%,9k11_D_C,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
10%,9k31_A_C,dev40,evaluable,evaluable,0.004618937644341801,0.0,0.179214169464119,0.1920360247755077,5,5,1
10%,9kbz_A_C,dev40,evaluable,evaluable,0.005263157894736842,0.009174311926605505,0.23426717322311089,0.2575889757305613,5,5,1
10%,9mna_C_E,dev40,evaluable,evaluable,0.0,0.0,0.21297739297739293,0.2314380526880527,5,5,1
10%,9oy8_B_A,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
10%,9pij_J_F,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
10%,9yck_B_C,dev40,evaluable,evaluable,0.0,0.020833333333333332,0.165356871310673,0.1849557666722354,5,5,1
