case,pdb_id,subset,protein_identity_train,protein_identity_n1100,rna_identity_train,f1_base,f1_psmp,ok_base,ok_psmp
10be_A_B,10be,Temporal15,0.0,0.0,0.0,0.0880503144654088,0.07874015748031496,True,True
10fb_A_C,10fb,Temporal15,0.0,0.0,0.0,0.0,0.0,True,True
11hx_A_C,11hx,Temporal15,0.391,0.0,0.0,0.02298850574712644,0.09999999999999999,True,True
13fo_D_T,13fo,Temporal15,0.0,0.0,0.808,0.0,0.0,True,True
22av_A_B,22av,Temporal15,0.0,0.0,0.0,0.0,0.04830917874396135,True,True
22ax_A_B,22ax,Temporal34_only,0.0,0.0,0.0,0.0,0.008403361344537816,True,True
30gt_H_1,30gt,Temporal15,0.0,0.0,0.0,0.0,0.0,True,True
9lje_A_B,9lje,Temporal15,0.0,0.0,0.0,0.003289473684210526,0.023094688221709004,True,True
9q0z_A_D,9q0z,Temporal34_only,0.211,0.0,0.0,,,False,False
9q10_A_D,9q10,Temporal34_only,0.211,0.0,0.0,,,False,False
9q11_A_D,9q11,Temporal34_only,0.0,0.0,0.0,,,False,False
9q12_A_D,9q12,Temporal34_only,0.211,0.0,0.0,0.0,0.0,True,True
9q14_A_D,9q14,Temporal34_only,0.0,0.0,0.0,0.0,0.0,True,True
9q18_A_D,9q18,Temporal34_only,0.0,0.0,0.0,0.0,0.0,True,True
9ypf_C_G,9ypf,Temporal15,0.0,0.0,0.0,0.0,0.0,True,True
9z7q_B_N,9z7q,Temporal15,0.0,0.0,0.0,0.03225806451612903,0.0,True,True
9z7v_I_N,9z7v,Temporal34_only,0.0,0.0,0.0,0.019417475728155338,0.0,True,True
9z7x_I_N,9z7x,Temporal34_only,0.0,0.0,0.0,0.009950248756218907,0.0,True,True
9zy1_C_E,9zy1,Temporal15,0.0,0.0,0.0,0.0,0.10126582278481013,True,True
