case,status,f1,recall,precision,n_pred,n_native
1m5p_G_C,evaluable,0.0,0.0,0.0,0,60
1m8w_F_D,evaluable,0.0,0.0,0.0,0,46
21bh_G_M,evaluable,0.015352819604369648,0.4727272727272727,0.0078031212484993995,3332,55
2b2d_C_A,evaluable,0.0,0.0,0.0,0,17
3bo4_D_A,evaluable,0.0,0.0,0.0,0,55
3gtm_B_M,evaluable,0.004552352048558422,0.375,0.0022900763358778627,3930,24
3ud4_A_B,evaluable,0.0,0.0,0.0,0,58
4dv1_U_A,evaluable,0.004290004290004291,0.6081081081081081,0.0021525950729490554,20905,74
4k4s_A_D,evaluable,0.004705882352941176,0.125,0.002398081534772182,417,8
5dox_TA_FA,missing_val_contacts,0.0,0.0,0.0,0,0
5f9f_A_B,evaluable,0.01973561720350028,0.49074074074074076,0.010070302109063272,5263,108
5v7q_X_G,missing_val_contacts,0.0,0.0,0.0,0,0
6g4s_S_A,missing_val_contacts,0.0,0.0,0.0,0,0
6hct_G_E,evaluable,0.039119804400977995,0.26666666666666666,0.021108179419525065,379,30
6n8m_H_A,missing_val_contacts,0.0,0.0,0.0,0,0
6nut_A_B,evaluable,0.0,0.0,0.0,0,49
6ppp_C_A,evaluable,0.08888888888888888,0.6,0.048,125,10
6qw6_Y_N,missing_val_contacts,0.0,0.0,0.0,0,0
6s6b_K_L,missing_val_contacts,0.0,0.0,0.0,0,0
6wnv_N_YA,missing_val_contacts,0.0,0.0,0.0,0,0
7bhp_OA_A,missing_val_contacts,0.0,0.0,0.0,0,0
7c08_A_C,evaluable,0.12318840579710144,0.38636363636363635,0.07327586206896551,232,44
7n3o_A_B,evaluable,0.004902227790184651,0.5263157894736842,0.002462582428106274,36547,171
7orl_B_A,evaluable,0.0,0.0,0.0,0,104
7p7u_V_J,missing_val_contacts,0.0,0.0,0.0,0,0
7py3_D_G,evaluable,0.0033314825097168236,0.42857142857142855,0.0016722408026755853,5382,21
7q3l_G_E,evaluable,0.014073494917904614,0.36,0.007177033492822967,1254,25
7rim_G_C,evaluable,0.0071989528795811525,0.4583333333333333,0.0036279683377308707,3032,24
7uwe_F_A,evaluable,0.0,0.0,0.0,0,31
7uzx_A_H,evaluable,0.0,0.0,0.0,0,75
7v9u_A_D,evaluable,0.0,0.0,0.0,0,129
7y7q_A_D,evaluable,0.0,0.0,0.0,0,20
8b0j_A_G,evaluable,0.0,0.0,0.0,0,59
8bws_E_S,evaluable,0.008285862247540134,0.36363636363636365,0.0041906757464641176,1909,22
8g4i_T_A,evaluable,0.0015624186240299983,0.625,0.0007821869948375659,19177,24
8h67_E_B,evaluable,0.011347517730496453,0.375,0.005760921747479597,4166,64
8i0w_WA_I,missing_val_contacts,0.0,0.0,0.0,0,0
8k59_A_I,evaluable,0.014857142857142855,0.40625,0.007566938300349243,1718,32
8k5p_A_L,evaluable,0.00880528316990194,0.4782608695652174,0.00444354675823066,4951,46
8pkl_G_H,missing_val_contacts,0.0,0.0,0.0,0,0
8u72_N_B,evaluable,0.01733102253032929,0.6060606060606061,0.008791208791208791,2275,33
9h9n_G_A,evaluable,0.0012580943570767809,0.7083333333333334,0.000629606310877375,27001,24
9jwk_A_B,evaluable,0.008884422110552764,0.52,0.0044804865686771415,49325,425
9k11_D_C,evaluable,0.003483309143686502,0.5,0.001747742499271774,3433,12
9k31_A_C,evaluable,0.0,0.0,0.0,0,457
9kbz_A_C,evaluable,0.004609243178731635,0.4745762711864407,0.0023158678301145527,24181,118
9mna_C_E,evaluable,0.0,0.0,0.0,0,29
9oy8_B_A,missing_val_contacts,0.0,0.0,0.0,0,0
9pij_J_F,missing_val_contacts,0.0,0.0,0.0,0,0
9yck_B_C,evaluable,0.009057971014492752,0.5208333333333334,0.004568713450292397,5472,48
