Train_fraction,identity_axis,bin,n_pair,mean_delta_f1,bootstrap_ci95_lo,bootstrap_ci95_hi,wilcoxon_p_onesided_greater,n_improve,n_worse,n_tie,identity_definition
10%,max_partner_identity,"[0,0.3)",11,0.10672377549138118,0.012206350001228257,0.267701933803355,0.02734375,6,2,3,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
10%,max_partner_identity,"[0.3,0.4)",0,,,,,0,0,0,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
10%,max_partner_identity,"[0.4,0.7)",2,0.05805084745762712,0.0,0.11610169491525424,0.5,1,0,1,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
10%,max_partner_identity,"[0.3,0.7)",2,0.05805084745762712,0.0,0.11610169491525424,0.5,1,0,1,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
10%,max_partner_identity,"[0.7,1.0]",11,0.010886242396696624,-0.028164482739983378,0.04040174197174851,0.21875,5,1,5,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
10%,protein_identity,"[0,0.3)",11,0.10672377549138118,0.012206350001228257,0.267701933803355,0.02734375,6,2,3,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
10%,protein_identity,"[0.3,0.4)",0,,,,,0,0,0,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
10%,protein_identity,"[0.4,0.7)",2,0.05805084745762712,0.0,0.11610169491525424,0.5,1,0,1,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
10%,protein_identity,"[0.3,0.7)",2,0.05805084745762712,0.0,0.11610169491525424,0.5,1,0,1,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
10%,protein_identity,"[0.7,1.0]",11,0.010886242396696624,-0.028164482739983378,0.04040174197174851,0.21875,5,1,5,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
10%,rna_identity,"[0,0.3)",21,0.0646062830527976,0.006606602482027872,0.16096410021032095,0.012921427229894452,11,3,7,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
10%,rna_identity,"[0.3,0.4)",0,,,,,0,0,0,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
10%,rna_identity,"[0.4,0.7)",0,,,,,0,0,0,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
10%,rna_identity,"[0.3,0.7)",0,,,,,0,0,0,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
10%,rna_identity,"[0.7,1.0]",3,0.017693315858453473,0.0,0.053079947575360414,0.5,1,0,2,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
25%,max_partner_identity,"[0,0.3)",11,0.08680302269391688,0.001308014019878427,0.24577991536646174,0.0625,4,1,6,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
25%,max_partner_identity,"[0.3,0.4)",0,,,,,0,0,0,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
25%,max_partner_identity,"[0.4,0.7)",2,0.057971014492753624,0.0,0.11594202898550725,0.5,1,0,1,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
25%,max_partner_identity,"[0.3,0.7)",2,0.057971014492753624,0.0,0.11594202898550725,0.5,1,0,1,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
25%,max_partner_identity,"[0.7,1.0]",11,-0.004957231922399413,-0.05637695637695638,0.04849064810362021,0.5,3,3,5,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
25%,protein_identity,"[0,0.3)",11,0.08680302269391688,0.001308014019878427,0.24577991536646174,0.0625,4,1,6,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
25%,protein_identity,"[0.3,0.4)",0,,,,,0,0,0,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
25%,protein_identity,"[0.4,0.7)",2,0.057971014492753624,0.0,0.11594202898550725,0.5,1,0,1,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
25%,protein_identity,"[0.3,0.7)",2,0.057971014492753624,0.0,0.11594202898550725,0.5,1,0,1,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
25%,protein_identity,"[0.7,1.0]",11,-0.004957231922399413,-0.05637695637695638,0.04849064810362021,0.5,3,3,5,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
25%,rna_identity,"[0,0.3)",21,0.04553675252816644,-0.019283061800050343,0.14316633007866977,0.1430016920103528,7,4,10,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
25%,rna_identity,"[0.3,0.4)",0,,,,,0,0,0,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
25%,rna_identity,"[0.4,0.7)",0,,,,,0,0,0,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
25%,rna_identity,"[0.3,0.7)",0,,,,,0,0,0,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
25%,rna_identity,"[0.7,1.0]",3,0.01999130812690135,0.0,0.059973924380704056,0.5,1,0,2,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
50%,max_partner_identity,"[0,0.3)",10,0.09820176345975755,-0.002888001735164371,0.2781548306416115,0.15625,3,2,5,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
50%,max_partner_identity,"[0.3,0.4)",0,,,,,0,0,0,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
50%,max_partner_identity,"[0.4,0.7)",2,-0.06492537313432836,-0.1,-0.029850746268656716,1.0,0,2,0,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
