case,F1_base,F1_psmp,delta,F1_boltz2,status
9ypf_C_G,0.0,0.0,0.0,0.13333333333333333,contact_scored
10fb_A_C,0.0,0.0,0.0,0.0,contact_scored
9ows_B_A,0.0,0.0,0.0,0.034934497816593885,contact_scored
9lje_A_B,0.003289473684210526,0.023094688221709004,0.019805214537498478,0.020746887966804982,contact_scored
22av_A_B,0.0,0.04830917874396135,0.04830917874396135,0.015384615384615384,contact_scored
9zy1_C_E,0.0,0.10126582278481013,0.10126582278481013,0.14814814814814814,contact_scored
13fo_D_T,0.0,0.0,0.0,0.0,contact_scored
9rv1_H_1,0.1415929203539823,0.07594936708860761,-0.06564355326537469,0.5420560747663551,contact_scored
9z7q_B_N,0.03225806451612903,0.0,-0.03225806451612903,0.0,contact_scored
11hx_A_C,0.02298850574712644,0.09999999999999999,0.07701149425287356,0.05063291139240507,contact_scored
30gt_H_1,0.0,0.0,0.0,0.0,contact_scored
9wn8_E_G,0.0,0.0,0.0,0.0,contact_scored
10be_A_B,0.0880503144654088,0.07874015748031496,-0.00931015698509384,0.5628140703517587,contact_scored
12sn_A_T,0.022988505747126436,0.0,-0.022988505747126436,0.2835820895522388,contact_scored
9q16_F_B,0.0,0.0,0.0,0.0,contact_scored
10yz_A_C,,,,,not_scored_chain_not_found
9zy0_C_E,0.0,0.10126582278481013,0.10126582278481013,,contact_scored
9o7t_A_G,0.022727272727272724,0.015503875968992248,-0.007223396758280477,,contact_scored
13fn_D_T,0.0,0.0,0.0,,contact_scored
9ype_C_G,0.0,0.0,0.0,,contact_scored
