query_set	n_query	threshold	n_protein_maxID_ge	n_rna_maxID_ge	n_both_partners_ge
val50	50	0.30	34	50	34
val50	50	0.40	32	50	32
val50	50	0.50	32	49	32
val50	50	0.70	27	19	14
val50	50	0.90	24	14	12
val50	50	1.00	21	8	7
test10	10	0.30	6	10	6
test10	10	0.40	5	10	5
test10	10	0.50	5	10	5
test10	10	0.70	4	3	2
test10	10	0.90	4	3	2
test10	10	1.00	3	2	1
dev40	40	0.30	28	40	28
dev40	40	0.40	27	40	27
dev40	40	0.50	27	39	27
dev40	40	0.70	23	16	12
dev40	40	0.90	20	11	10
dev40	40	1.00	18	6	6
